,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,18.0,17.0,22.0,10.0,18.0,18.0,22.0,10.0
2,77339.0,135542.0,130271.0,157083.0,162568.0,180552.0,181161.0,181161.0,181161.0
3,30.0,20.0,26.0,17.0,11.0,27.0,19.0,32.0,29.0
4,16.0,7.0,12.0,7.0,7.0,17.0,11.0,8.0,9.0
5,13.0,5.0,3.0,4.0,0.0,10.0,6.0,6.0,12.0
6,138.0,223.0,159.0,169.0,133.0,136.0,136.0,284.0,278.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,31.0,17.0,21.0,16.0,11.0,32.0,24.0,30.0,45.0
9,8.0,7.0,9.0,4.0,4.0,7.0,7.0,11.0,5.0
10,2212.0,1564.0,1909.0,1180.0,933.0,2316.0,1497.0,2275.0,2505.0
11,87.0,90.0,92.0,94.0,100.0,100.0,95.0,84.0,100.0
12,4.0,2.0,4.0,1.0,0.0,0.0,1.0,6.0,0.0
13,88.0,59.0,76.0,50.0,32.0,79.0,56.0,94.0,85.0
14,6.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0
15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,63.0,45.0,69.0,59.0,45.0,70.0,58.0,63.0,69.0
17,17.0,20.0,19.0,29.0,27.0,15.0,32.0,6.0,3.0
18,20.0,35.0,12.0,12.0,27.0,15.0,11.0,31.0,28.0
