,2019-2020,2020-2021,2021-2022
1,18.0,22.0,10.0
2,130107.0,130107.0,130107.0
3,15.0,28.0,24.0
4,13.0,27.0,22.0
5,2.0,6.0,9.0
6,82.0,89.0,87.0
7,0.0,0.0,0.0
8,12.0,33.0,38.0
9,8.0,10.0,4.0
10,1064.0,2407.0,1912.0
11,73.0,96.0,88.0
12,4.0,1.0,3.0
13,88.0,82.0,71.0
14,0.0,2.0,3.0
15,0.0,0.0,0.0
16,73.0,61.0,67.0
17,0.0,11.0,8.0
18,27.0,29.0,25.0
