,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.833,4.0,12.0,10.0,21.0,13.0,11.833,12.0,7.0
2,27849.0,24490.0,61513.0,74177.0,91108.0,137238.0,21081.0,25363.0,31621.0
3,34.0,31.0,28.0,27.0,19.0,26.0,15.0,28.0,11.0
4,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,0.0,2707.0,1249.0,2358.0,784.0,0.0,0.0,0.0,0.0
7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
8,22.0,28.0,19.0,19.0,30.0,30.0,15.0,29.0,15.0
9,19.0,13.0,15.0,11.0,5.0,7.0,5.0,11.0,3.0
10,3034.0,2707.0,2498.0,2358.0,1568.0,2008.0,1240.0,2392.0,804.0
11,100.0,100.0,100.0,100.0,95.0,96.0,100.0,100.0,91.0
12,0.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0
13,89.0,82.0,82.0,79.0,50.0,68.0,79.0,74.0,29.0
14,9.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,2.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,53.0,48.0,64.0,59.0,32.0,42.0,80.0,61.0,64.0
17,26.0,19.0,25.0,30.0,21.0,19.0,13.0,18.0,18.0
18,21.0,32.0,11.0,11.0,47.0,38.0,7.0,21.0,18.0
