,2019-2020,2020-2021,2021-2022
1,10,2.5,13
2,1482,1153,12187
3,23,2,35
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,1
8,22,0,55
9,10,1,7
10,2070,155,3136
11,100,100,100
12,11,31,2
13,68,6,95
14,0,0,2
15,0,0,0
16,52,100,23
17,17,0,34
18,30,0,43
