,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.0,9.0,6.0,15.0,9.833
2,5600.0,9140.0,52701.0,52701.0,52701.0
3,32.0,32.0,31.0,29.0,21.0
4,3.0,9.0,10.0,8.0,3.0
5,1.0,1.0,7.0,2.0,0.0
6,644.0,286.0,220.0,217.0,320.0
7,0.0,0.0,0.0,0.0,0.0
8,38.0,56.0,26.0,29.0,28.0
9,9.0,7.0,6.0,4.0,4.0
10,1932.0,2571.0,2201.0,1733.0,961.0
11,63.0,100.0,90.0,69.0,43.0
12,15.0,0.0,3.0,9.0,13.0
13,84.0,84.0,91.0,85.0,62.0
14,2.0,3.0,3.0,3.0,2.0
15,0.0,2.0,0.0,1.0,0.0
16,31.0,13.0,55.0,34.0,38.0
17,31.0,25.0,16.0,28.0,24.0
18,38.0,63.0,29.0,38.0,38.0
