,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,25.0,8.5,8.5,8.5,8.5
2,122992.0,120000.0,120000.0,120000.0,120000.0
3,5.0,13.0,29.0,24.0,13.0
4,0.0,1.0,2.0,2.0,0.0
5,1.0,0.0,1.0,0.0,0.0
6,0.0,891.0,1143.0,969.0,0.0
7,0.0,0.0,1.0,0.0,0.0
8,7.0,13.0,37.0,22.0,10.0
9,2.0,4.0,6.0,8.0,2.0
10,371.0,891.0,2285.0,1937.0,846.0
11,80.0,77.0,86.0,96.0,85.0
12,6.0,9.0,6.0,7.0,3.0
13,24.0,34.0,76.0,63.0,34.0
14,2.0,3.0,3.0,2.0,3.0
15,0.0,0.0,0.0,0.0,0.0
16,40.0,38.0,34.0,58.0,46.0
17,40.0,31.0,24.0,21.0,23.0
18,20.0,31.0,41.0,21.0,31.0
