,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
St Johnstone,0.500,1.000,1.000,0.250,0.917,0.250,0.917,0.917,0.917,2.500
Hibernian,1.25,0.500,1.25,1.25,0.500,1.25,2.000,1.25,1.25,2.000
Motherwell,1.500,1.000,0.500,1.25,1.25,1.25,1.25,1.25,2.000,1.25
Kilmarnock,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000,1.0,1.0
Hearts,1.500,1.0,1.0,1.0,0.500,1.0,1.0,1.0,1.0,1.0
Dundee United,1.000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AIK,3.000,1.571,1.000,1.000,1.000,1.000,1.500,2.500,1.571,1.571
Randers,2.833,1.000,2.833,0.500,2.833,2.833,2.833,2.833,2.833,7.000
Aarhus,0.500,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.500,1.500
Sonderjyske,1.75,1.75,1.75,1.75,1.500,1.75,1.75,1.75,2.000,1.75
Nordsjaelland,5.000,1.500,2.833,2.833,2.833,2.833,2.000,2.833,2.833,2.833
Lyngby,1.0,1.0,1.0,1.0,1.0,1.000,1.0,1.0,1.0,1.0
Aalborg,3.25,0.500,6.000,3.25,3.25,3.25,3.25,3.25,3.25,3.25
Horsens,1.500,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Fola,1.111,1.000,0.250,1.000,0.250,1.000,1.500,1.000,1.500,2.500
FH,0.500,1.500,1.000,0.500,1.000,1.500,1.500,1.111,1.000,1.500
Ostersund,10.0,10.0,10.0,10.0,10.0,10.000,10.0,10.0,10.0,10.0
Valerenga,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.500
Viking,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.500,1.5
Haugesund,1.0,1.0,0.500,1.0,1.0,0.500,1.0,2.000,1.0,1.0
Brann,0.75,0.75,0.75,0.75,0.75,0.500,0.75,1.000,0.75,0.75
Sarpsborg,4.0,4.0,4.0,4.0,4.0,4.0,4.000,4.0,4.0,4.0
Lillestrom,1.5,1.5,1.5,1.5,1.5,1.5,1.500,1.5,1.5,1.5
Odd,1.0,1.0,1.0,1.500,0.500,1.000,1.0,1.0,1.0,1.0
Stromsgodset,0.875,1.000,1.000,1.000,0.500,0.875,0.875,0.875,0.875,0.875
Stabaek,0.250,0.25,0.25,0.25,0.250,0.25,0.25,0.25,0.25,0.25
Tromso,1.500,2.000,0.500,1.333,1.333,1.333,1.333,1.333,1.333,1.333
Aalesund,1.000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Elfsborg,1.000,3.000,1.500,1.000,1.8,1.8,1.8,1.8,1.8,2.500
Vaduz,0.972,0.250,0.500,1.000,0.500,0.500,1.500,2.000,1.000,1.500
Hammarby,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.500,2.500
Hacken,1.2,1.000,1.2,1.2,0.500,1.2,1.500,1.500,1.2,1.500
Djurgardens,1.75,1.75,1.75,1.75,1.75,1.75,1.500,1.75,2.000,1.75
Goteborg,1.1,0.500,1.000,1.000,1.500,1.1,1.1,1.1,1.500,1.1
Norrkoping,1.167,1.167,1.167,1.167,1.000,0.500,1.167,2.000,1.167,1.167
Brommapojkarna,1.0,1.0,1.000,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gefle,1.0,1.000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Helsingborgs,3.000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Kalmar,1.000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KUPS,1.000,1.7,1.7,1.7,1.7,1.7,1.000,1.500,2.500,2.500
